店名,地區,地址,電話,ID,類別
Puzzle Dining,馬鞍山,鞍祿街18號MOSTown新港城中心(5期)地下G30號舖,63988678,255,西式
糖果工房,旺角,登打士街36號恆威商業中心13樓,28381056,256,甜品
金糖滿屋,元朗,建業街98號滿利大廈地舖,37096366,257,甜品
Peek-A-Poke,銅鑼灣,希雲街16號地舖,55957729,258,素食
Involtini Italian Cuisine,銅鑼灣,駱克道459-461號 The L. Square 11樓,26582128,259,西式
土城日本料理,觀塘,駿業街67號駿業熟食市場1樓45號舖,66241328,260,日式
CoCo Espresso,上環,蘇杭街13-15號地舖,25422228,261,Cafe
CoCo Espresso,上環,干諾道中168-200號信德中心西翼4樓402F號舖,28030319,262,Cafe
CoCo Espresso,灣仔,晏頓街2號地舖,25291682,263,Cafe
CoCo Espresso,側魚涌,海光街13-31號海光苑地下25B號舖,,264,Cafe
Four X Four,大圍,上徑口村15號地下,69964394,265,Cafe
手卷駅,旺角,彌敦道688號旺角中心一期2樓SA30A舖,52813548,266,日式
手卷駅,大角咀,槐樹街6號麗華中心地下3B號舖,56840613,267,日式
皇茶 旺角店,旺角,廣華街1號仁安大廈地下22號舖,92121622,268,飲品
滔滔甜品,元朗,康樂路8號康樂廣場地下9號舖,N/A,269,甜品
和拉麵,大埔,運頭街20-26號廣安大廈地下J號舖,29881335,270,日式
After Taste Coffee,西環,西邊街21號地舖,97065659,271,飲品
味角,灣仔,堅彌地街1A號景星樓地下8號舖,51145975,272,日式
潮食閣,葵芳,葵富路7號葵涌廣場3樓TOP世界3069-T23-T25號舖,95658508,273,小食
Chok 雞,葵芳,葵富路F 3069 T18號舖葵涌廣場3座7-11號,9601 5532,274,小食
Explorer Fusion Restaurant,沙田,石門安群街3號京瑞廣場第一期地下G10號舖,26656781,275,日式
Around Wellington,中環,威靈頓街154號地舖,54200331,276,小食
團日式拉麵,荃灣,大屋街18號金豐閣地下1-2號舖,24882322,277,日式
豚道樂,荃灣,大河道63號卓明大廈地舖,39569163,278,日式
柴太郎咖啡店,西貢,市場街11號地舖,94880623,279,Cafe
龍川上海料理,葵涌,光輝圍21號昌發樓地下,34880083,280,中式
兩姊妹涼皮有限公司,太子,柏樹街15號地舖,65373913,281,中式
Cheeky Pasta,灣仔,汕頭街4號地下B2A號舖,23252725,282,西式
廣記粥店,大埔,安慈路1號海寶花園地下13號,26644567,283,中式
天天烘焙 Daily Bread 西環店,西環,德輔道西332號地舖,37051799,284,餅店
平昌,旺角,西洋菜街1號兆萬中心13樓,26121682,285,韓式
只,尖沙咀,加連威老道66-76號威華大廈4樓402室,23251115,286,Cafe
味山田,觀塘,成業街7號東廣場地下G08舖,21144019,287,日式
珠記冰室,觀塘,開源道46-48號威利廣場地下2-3號舖,34898028,288,港式/ 茶餐廳
Coffeezine,旺角,廣華街1號仁安大廈地下5A號舖,N/A,289,Cafe
Electric Ave,西環,西營盤皇后大道西301號地下,28588883,290,西式
松記糖水店 西環店,西環,石塘咀皇后大道西522-530號再發大廈地下4號舖,36125752,291,甜品
冰山之國,天水圍,天湖路1號嘉湖新北江商場1樓原宿地帶D2號舖,N/A,292,小食
Aroma Dessert Cafe,荃灣,鱟地坊38-46號祐強樓地下42號舖,N/A,293,甜品
八鯨料理,大埔,安泰路1號大埔廣場地下57號舖,26650997,294,日式
糧心製作,黃竹坑,業勤街33號金來工業大廈第2座25樓M室,28896528,295,西式
Holam Bakery,觀塘,開源道60號駱駝漆大廈3座4樓I室,63357901,296,餅店
玩具屋,天后,銀幕街16號地舖,23487800,297,日式
潮州人,太子,界限街12號A地舖,65366626,298,中式
蠔王,大埔,安慈路2號八號花園地下4號舖,22468282,299,西式
拾味山西刀削麵館,灣仔,灣仔道212-214號怡康大廈地下A號舖,28196635,300,中式
幸福單品咖啡,西環,西營盤英華臺1-6號華輝閣地下1號舖,28030868,301,Cafe
低調高手大街小食,筲箕灣,東大街76A號B3號舖地下,66015300,302,小食
Burger Home,灣仔,軒尼詩道233號地下B舖,26620201,303,西式
Nuttea,側魚涌,海光街36號地下2號舖,63788286,304,飲品
Coffee Art,觀塘,成業街7號東廣場地下G46-G48舖,54037883,305,Cafe
Coffee Art,將軍澳,貿業路8號新都城中心1期地下G95號舖,54037995,306,Cafe
肆年八月米線專門店,大圍,下徑口村30號地舖,98727223,307,港式/ 茶餐廳
一燒窰,旺角,通菜街1A-1L號威達商業大廈地下J舖,51724217,308,日式
拉麵天王,紅磡,德民街17-27號B5B地下,26270766,309,日式
三一餃子,中環,利源西街7號地舖,65838013,310,日式
農舍,南丫島,榕樹灣大街26號地下,29826934,311,素食
兄弟小食,側魚涌,英皇道846號民新大廈地舖,N/A,312,小食
黑麥 Pumpernickel,天后,琉璃街1號A,25780854,313,Cafe
嘉寶漢堡,葵涌,青山公路葵涌段499號嘉寶大廈地下A&B號舖,61258419,314,快餐
迷客夏,銅鑼灣,利園山道17號地舖,55868683 (WhatsApp),315,飲品
迷客夏,旺角,西洋菜南街1A-1K號百寶利商業中心地下12號舖,65801138,316,飲品
Bingaz Street Food,西環,西營盤第三街64號地舖,28726899,317,西式
山下菓子,旺角,彌敦道700號T.O.P This is Our Place 3樓315號舖,39051470,318,甜品
復仇者餐館,中環,蘇豪嘉咸街45A號1樓,92109492,319,西式
糖痴豆,半山,巴丙頓道1號M4B舖,21277388,320,甜品
The Coffee Moment,西環,西營盤東邊街38-42號地下B號舖,28905088,321,Cafe
Beeger,西環,堅尼地城士美菲路1-15號美新大廈地下J號舖,28122328,322,快餐
水門泰式海南雞飯專門店,上環,永樂街87號泰達大廈地下,93800919,323,星馬菜
水門泰式海南雞飯專門店,元朗,青山公路元朗段34號任安樓地下C號舖,93863674,324,星馬菜
水門泰式海南雞飯專門店,深水埗,欽州街37號西九龍中心8樓美食廣場55號舖,N/A,325,星馬菜
地道館車仔麵,新蒲崗,崇齡街42號地舖,52177008,326,港式/ 茶餐廳
野菜咖喱事務所 Curry Man,葵涌,葵興道100號葵涌中心商場地下A42號舖,51128914,327,日式
頭啖湯,天后,威菲路道15-19號萬順樓地舖,25709017,328,火鍋
居廬晉家門炭燒工房,太子,白楊街3號地舖,24881110,329,西式
拾伍·貳拾手作串燒 fifteentwentygrill,太子,基隆街47號嘉利大廈地下5號舖,63755807,330,串燒
9 3/4 cafe,旺角,煙廠街9號興發商業大廈4樓404室,94326555,331,Cafe
Rimi Cafe,旺角,登打士街43H號登打士廣場20樓,27712781,332,Cafe
Cafe Paradise,太子,砵蘭街412號地舖,37098103,333,Cafe
Cafe Paradise,杏花村,盛泰道100號杏花新城地下G53A號舖,28135328,334,Cafe
LC-Tea,屯門,湖翠路168-236號海趣坊1樓22-23號舖,60451989,335,飲品
三川居酒屋,銅鑼灣,軒尼詩道499號永光商業大廈地庫,21406883,336,酒吧
Pattern,太和,太和路15號太和中心13號地舖,26381220,337,西式
